event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.42
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.43
note,D,up,0.308,0.334,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.44
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.45
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.46
note,D,up,0.308,0.3340000000000001,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.47
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.480000000000004
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.49
cross,,,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,D,A,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.5
cross,,,0.3185,0.3535,0.2185,2.710203361200314e-05,-0.056854811717706344,-2.4016171698835356,D,A,-2.0439062416929827,-0.037254024367184835,1.7401305790340575,-4.0415186132652785,0.6617816390599125,-0.4329374789627334,33.51
