timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9446.768,1.352,3,Playing d_bow...,Note,57,A3,A,0.646958,0.329182,0.759364,0.12633,-1.588891,-2.261499,1.24842,-2.233156,-0.282061,0.629413,-1.06415,-1.505691,-2.606586,0.340378,-0.405722,-0.376053,0.142193,0.227884,0.184118,A
9446.776,1.36,3,Playing d_bow...,Note,57,A3,A,0.638958,0.328555,0.76043,0.125666,-1.587749,-2.264106,1.250951,-2.231772,-0.278166,0.622643,-1.060345,-1.507556,-2.606158,1.252371,-0.328963,-0.916478,0.13503,0.227446,0.173901,A
9446.784,1.368,3,Playing d_bow...,Note,57,A3,A,0.630958,0.327935,0.761462,0.12495,-1.586629,-2.266462,1.253599,-2.230423,-0.274293,0.616062,-1.056576,-1.509293,-2.605706,1.054357,-1.008459,-0.416737,0.154781,0.221644,0.154437,A
9446.792,1.376,3,Playing d_bow...,Note,57,A3,A,0.622958,0.32733,0.762462,0.124205,-1.58558,-2.268731,1.256231,-2.229117,-0.270448,0.609614,-1.052911,-1.511001,-2.605228,1.441955,0.339545,-1.741539,0.1415,0.234738,0.158359,A
9446.8,1.384,3,Playing d_bow...,Note,57,A3,A,0.614958,0.32672,0.763441,0.123494,-1.584433,-2.270932,1.259029,-2.22782,-0.266678,0.603229,-1.0491,-1.512705,-2.604794,1.546071,-1.09498,-1.396463,0.139584,0.232389,0.166414,A
9446.808,1.392,3,Playing d_bow...,Note,57,A3,A,0.606958,0.326124,0.764406,0.122841,-1.583335,-2.273235,1.261473,-2.226545,-0.26298,0.596864,-1.045475,-1.514377,-2.604397,1.483518,-2.248812,-0.285567,0.151386,0.197257,0.147225,A
9446.816,1.4,3,Playing d_bow...,Note,57,A3,A,0.598958,0.325558,0.765347,0.122236,-1.582401,-2.275536,1.263685,-2.225323,-0.259378,0.590576,-1.041992,-1.516033,-2.603953,1.869628,-1.636698,-0.862529,0.139255,0.225264,0.161897,A
9446.824,1.408,3,Playing d_bow...,Note,57,A3,A,0.590958,0.324939,0.766287,0.121678,-1.581414,-2.277871,1.265911,-2.22405,-0.255897,0.584416,-1.038507,-1.517671,-2.60351,1.709229,-1.788364,-0.216736,0.147071,0.207535,0.168438,A
9446.832,1.416,3,Playing d_bow...,Note,57,A3,A,0.582958,0.324376,0.767189,0.121094,-1.580445,-2.280062,1.268126,-2.22286,-0.2524,0.578302,-1.035053,-1.519252,-2.603103,1.607284,-1.549607,0.164112,0.15845,0.203639,0.15463,A
9446.84,1.424,3,Playing d_bow...,Note,57,A3,A,0.574958,0.323775,0.768078,0.120489,-1.57949,-2.282229,1.270458,-2.221647,-0.248953,0.572337,-1.031627,-1.520848,-2.602648,1.449903,-0.859613,-0.967939,0.151195,0.231494,0.152075,A
